feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
HILp_QI22835	diagnosis	UC	-8.61023493254762	1.99120367024178	388	183	3.57741427722708e-05	0.000328203144699732
HILp_QI16779	diagnosis	CD	-6.41041093467592	1.48113407129634	388	259	3.65155070177036e-05	0.000331959154706397
HILp_QI12078	diagnosis	UC	8.03507915205736	1.87121384432191	388	274	4.14330034978248e-05	0.000373270301782205
HILp_QI25167	diagnosis	CD	6.28095849483231	1.47286248618729	388	284	4.48742616165551e-05	0.000400663050147813
C18n_QI201	diagnosis	CD	6.98127781754801	1.63783401107086	388	197	4.6510794711944e-05	0.000411599953203044
HILp_QI21470	diagnosis	UC	-8.21734056252959	1.93254450490105	388	320	4.70663250885972e-05	0.000412862500777168
HILp_QI15013	diagnosis	CD	6.30719269492389	1.50898864746195	388	184	6.38189011132409e-05	0.000554946966202095
HILp_QI6290	diagnosis	UC	8.59477759992463	2.06632123733712	388	241	6.64799028439628e-05	0.000573102610723818
HILp_QI8712	diagnosis	CD	7.79022417741463	1.88156581104783	388	223	7.47516018556521e-05	0.000633488151319085
HILp_QI7320	diagnosis	UC	7.50824396053448	1.8179014572773	388	254	7.44043980847236e-05	0.000633488151319085
HILp_QI19842	diagnosis	CD	5.78086760211743	1.4051785289543	388	226	8.02545463849362e-05	0.00067440795281459
HILp_QI22739	diagnosis	UC	-7.74429636247113	1.89067734372791	388	173	8.43291647598175e-05	0.000702743039665146
HILp_QI22739	diagnosis	CD	-6.90183671324655	1.70355913897542	388	173	0.000100505826852791	0.000830626668204887
HILp_QI22559	diagnosis	UC	-7.32104795512679	1.81526842455208	388	252	0.000106224054757228	0.000870688973419898
HILp_QI11297	diagnosis	UC	7.82109871478723	1.94607361437043	388	196	0.000112498487619004	0.000914621850561009
HILp_QI22553	diagnosis	CD	-6.33840267686208	1.57529020059466	388	230	0.000114105633844749	0.000920206724554429
HILp_QI21407	diagnosis	CD	-6.40032002543915	1.59386831739678	388	238	0.000116584486248302	0.000932675889986418
HILp_QI14161	diagnosis	UC	8.43234975737104	2.10626598234542	388	197	0.000118982923743639	0.000936873415304243
HILp_QI22833	diagnosis	UC	-7.39646019520331	1.84721624571912	388	271	0.000118246634659053	0.000936873415304243
